,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
37567,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,6946.0
37568,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,6640.2
37569,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,7544.8
37570,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,8727.7
37571,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,7942.6
37572,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,6940.3
37573,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,8072.8
37574,B6CRSE01,"Services, credits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,7814.8
37575,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,9784.5
37576,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,9802.1
37577,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,10288.1
37578,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,10327.2
37579,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,9993.2
37580,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,9593.2
37581,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,10848.2
37582,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,9518.2
37583,B6DBSE01,"Services, debits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,8980.7
37584,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-14514.6
37585,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-7031.3
37586,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-5431.8
37587,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-6209.5
37588,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-15740.6
37589,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-8135.7
37590,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-5259.2
37591,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-7427.0
37592,B6BLPI01,"Primary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-12640.3
37593,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,2801.6
37594,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,3458.1
37595,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,3530.4
37596,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,3157.6
37597,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,4017.8
37598,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,3645.3
37599,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,3553.2
37600,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3031.7
37601,B6CRPI01,"Primary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,2419.2
37602,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,7008.3
37603,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,8837.3
37604,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,8269.2
37605,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,8769.9
37606,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,7680.3
37607,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,9213.9
37608,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,9479.8
37609,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,8905.1
37610,B6BLSI01,"Secondary income, balance",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,9135.3
37611,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,7257.1
37612,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,9130.4
37613,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,8532.4
37614,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,9046.1
37615,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,7926.2
37616,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,9479.2
37617,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,9773.0
