,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Reference Period Code,Reference Period,Value
5419,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.50317
5420,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,99.71641
5421,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,101.1332
5422,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,104.2665
5423,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,103.7648
5424,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,103.8165
5425,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,106.0308
5426,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,107.6952
5427,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,111.0134
5428,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,113.8558
5429,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,114.4237
