,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
17821,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2017-11,Nov-2017,PC,Percentage,0,Units,,,1.268458
17822,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2017-12,Dec-2017,PC,Percentage,0,Units,,,0.30305340000000003
17823,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-01,Jan-2018,PC,Percentage,0,Units,,,1.22761
17824,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-02,Feb-2018,PC,Percentage,0,Units,,,0.14108520000000002
17825,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-03,Mar-2018,PC,Percentage,0,Units,,,0.38866999999999996
17826,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-04,Apr-2018,PC,Percentage,0,Units,,,0.06954689
17827,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-05,May-2018,PC,Percentage,0,Units,,,2.195214
17828,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-06,Jun-2018,PC,Percentage,0,Units,,,1.6599240000000002
17829,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-07,Jul-2018,PC,Percentage,0,Units,,,-1.171585
17830,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-08,Aug-2018,PC,Percentage,0,Units,,,-0.3378663
17831,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-09,Sep-2018,PC,Percentage,0,Units,,,0.6007631
17832,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-10,Oct-2018,PC,Percentage,0,Units,,,0.3343183
17833,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-11,Nov-2018,PC,Percentage,0,Units,,,1.705442
17834,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2018-12,Dec-2018,PC,Percentage,0,Units,,,0.07333110000000001
17835,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-01,Jan-2019,PC,Percentage,0,Units,,,-0.9812692
17836,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-02,Feb-2019,PC,Percentage,0,Units,,,0.3408715
17837,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-03,Mar-2019,PC,Percentage,0,Units,,,0.21629810000000002
17838,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-04,Apr-2019,PC,Percentage,0,Units,,,0.05901705
17839,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-05,May-2019,PC,Percentage,0,Units,,,0.2634942
17840,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-06,Jun-2019,PC,Percentage,0,Units,,,0.30063049999999997
17841,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-07,Jul-2019,PC,Percentage,0,Units,,,0.2125819
17842,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-08,Aug-2019,PC,Percentage,0,Units,,,0.1976114
17843,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-09,Sep-2019,PC,Percentage,0,Units,,,0.2621353
17844,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-10,Oct-2019,PC,Percentage,0,Units,,,-0.4385853
17845,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-11,Nov-2019,PC,Percentage,0,Units,,,-0.1546759
17846,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2019-12,Dec-2019,PC,Percentage,0,Units,,,0.1258883
17847,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2020-01,Jan-2020,PC,Percentage,0,Units,,,-0.4463170999999999
17848,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2020-02,Feb-2020,PC,Percentage,0,Units,,,-0.01604414
17849,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2020-03,Mar-2020,PC,Percentage,0,Units,,,3.6149989999999996
17850,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,M,Monthly,2020-04,Apr-2020,PC,Percentage,0,Units,,,3.287951
17851,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-01,Jan-2017,PC,Percentage,0,Units,,,4.200793
