,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
155,GFSPR,Private sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,1073592.68675
156,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,3214083.4110000003
157,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,3320375.349
158,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,3192943.604
159,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,3130370.0310000004
160,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,3238327.936
161,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,3097499.483
162,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,3003534.9639999997
163,GFSPR,Private sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,3012093.2410000004
164,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,803520.85275
165,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,830093.83725
166,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,798235.901
167,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,782592.50775
168,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,809581.984
169,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,774374.87075
170,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,750883.7409999999
171,GFSPR,Private sector,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,753023.31025
820,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,22706766.03
821,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,23680284.04
822,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,23391279.58
823,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,24319708.91
824,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,23949558.57
825,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,,,24317093.16
826,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,,,24013197.21
827,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,24670630.94
828,B1_GA,Gross domestic product at market prices - output approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,,,24333531.49
829,B1_GA,Gross domestic product at market prices - output approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,23015859.26
830,B1_GA,Gross domestic product at market prices - output approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,23325694.17
831,B1_GA,Gross domestic product at market prices - output approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,23738447.89
832,B1_GA,Gross domestic product at market prices - output approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,24020117.01
833,B1_GA,Gross domestic product at market prices - output approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,24155487.45
834,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,5676691.5075
835,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,5920071.01
836,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,5847819.895
837,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,6079927.2275
838,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,5987389.6425
839,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,,,6079273.29
840,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,,,6003299.3025
841,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,6167657.735
842,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,,,6083382.8725
